party,iso3,unfccc_yr,unfccc_net,unfccc_gross,primap_yr,primap_net,primap_gross,peak_yr_net,peak_ghg_net,peak_yr_gross,peak_ghg_gross,nz_yr,ndc30_low,ndc30_high,ndc30_lulucf,ndc35_low,ndc35_high,ndc35_lulucf,s2z_aligned_label,s2z_pk_low,s2z_pk_high,s2z_ndc30_low,s2z_ndc30_high,s2z_latest,c1_ghg_p5,c1_ghg_p95,c2_ghg_p5,c2_ghg_p95,c3_ghg_p5,c3_ghg_p95,c4_ghg_p5,c4_ghg_p95,c5_ghg_p5,c5_ghg_p95,c6_ghg_p5,c6_ghg_p95,c7_ghg_p5,c7_ghg_p95,nz_min,nz_max,b2c_min,b2c_max,fw_min,fw_max,cp_min,cp_max
Afghanistan,AFG,2013,54236.00000000001,43228,2024,52567.365,52123.694,,,,,,42283.296,42283.296,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,6727.58,2024,11690.691,10260.288,,,2017,8033.149999999999,,11978,11978,Yes,,,,,,,,,,,,,,,,,,,,,,,,9260.1,13775.1,7181,15815.9,13679.4,18146.9,13189.5,16908.5
Algeria,DZA,2022,228755.2526,240201.7495037529,2024,236771.74,247924.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134284.9,193083.6,131442.8,292831,254959.6,342478.8,248172.1,359023.1
Andorra,AND,2021,230.74,435.87,2024,298.97319,434.8457,2005,370.73,2005,571.91,2050,203.5,203.5,Yes,137,137,Yes,Yes,123.5766666666649,123.5766666666649,152.6250000000005,152.6250000000005,119.3482758620696,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,2020,211527.88,33354.113,2024,213321.73,82291.011,1998,239933.84,,,,144804.48,178743.03,Yes,189013,200951.486,Yes,,,,,,,,,,,,,,,,,,,,,211941.7,237275.5,147696.1,196482.9,200259.7,236428.7,208003.7,249925.5
Antigua and Barbuda,ATG,2000,608.95,597.75,2024,981.84072,810.89001,,,,,2040,,,,,,,,,,,,393.3935347356226,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,2022,400920.5923,349515.9422282659,2024,385717.71,337713.36,2007,450092.8534,,,2050,349000,349000,Yes,,,,,157009.1349069771,157009.1349069771,261750,261750,221848.0307278624,139738.4794366478,195329.7688394951,111559.440612793,473653.5369956589,129962.7990722656,505479.0890597925,176002.6168823242,531292.4174593962,222910.2935791016,552290.393351166,229476.1810302734,692778.1160694204,311503.3874511719,728093.7013451507,-257359.7,235129.5,-379655,263429.1,309512.8,326675.3,-34566.4,417285.2
Armenia,ARM,2010,6663.592,7202.166,2024,11851.663,12336.938,,,,,,14515.4934,14515.4934,Yes,11404,13516,Yes,,,,,,,,,,,,,,,,,,,,,5849.8,9248.200000000001,5310.8,10455.9,11293.2,13045.7,12976.5,15252.2
Australia,AUS,2023,453448.9113,527150.3203,2024,460601.11,537346.78,2006,648433.085,2018,563874.2165,2050,348801.002139,348801.002139,Yes,183579.4748192082,232534.0014376637,Yes,Yes,221056.7335227279,221056.7335227279,261600.7516042519,261600.7516042519,264247.5645155573,137746.5573102947,263958.4331411908,118484.4207763672,432923.4900621424,108137.3596191406,495443.530361332,211613.4948730468,610545.3852332548,300242.9809570312,620442.2727989915,317254.7912597656,454259.3756323032,357784.912109375,707119.4342732364,-70298.3,174342.2,-115905.9,236872.3,321333.7,371756,233125.4,429896.4
Azerbaijan,AZE,2022,69498.87669999999,74704.7345963511,2024,75868.50199999999,81388.29700000001,,,,,,54990.229307,54990.229307,Yes,49620,49620,Yes,,,,,,,,,,,,,,,,,,,,,27080.8,37092.9,25275.7,49376.1,56298,63848.8,58128.7,70892.3
Bahamas,BHS,2018,6264.389999999999,,2024,6224.1466,3245.0391,,,,,2050,4442.9,4442.9,Yes,4148.221,4148.221,Yes,No,,,3332.175000000007,3332.175000000007,3571.349490173304,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,2000,22372.8,22372.8,2024,35472.993,35472.993,2020,43400.664,2020,,2060,,,,,,,,27125.41499999998,27125.41499999998,,,26212.7890378033,,,,,,,,,,,,,,,10653.5,18616.9,12823.2,21648.2,26050.3,26432.3,25581,29499.3
Bangladesh,BGD,2022,252040,245920,2024,248157.29,238427.04,2029,360000,,,,319940,381850,Yes,333422.9599999999,391664.24,Yes,,,,,,,,,,,,,,,,,,,,,129117.7,201608.9,188496.3,218883.1,253032.7,335742.8,319515.1,438603.9
Barbados,BRB,2008,1978.5,,2024,4277.1057,4277.1057,2008,1978.5,2008,,2040,1243.2,1500.555,Yes,1098,1406.175,Yes,No,309.1406249999977,309.1406249999977,621.6000000000008,750.2774999999815,309.1406249999977,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,2023,45858.74839,87149.81381000001,2024,52005.087,87886.448,1990,123733.4317,1990,146017.3967,,74240.05901999999,80426.730605,Yes,65578.71879082877,71765.39037486921,Yes,,,,,,,,,,,,,,,,,,,,,9249,21976.2,3481.2,36145.8,42629.60000000001,67851.39999999999,45574.5,66098.39999999999
Belize,BLZ,2022,-2231.16,1322.75,2024,7366.1604,1750.1604,,,,,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,2000,-5082.110000000001,6251.03,2024,27669.927,19710.33,,,,,,22840,25390,Yes,,,,,,,,,,,,,,,,,,,,,,,,-2932.3,4725.3,-7251.299999999999,6097.1,9026.799999999999,17079.5,14068.6,29531.9
Bhutan,BTN,2022,-9932.405429,1398.11150804359,2024,-9545.669900000001,2073.1254,,,,,2050,,,,-2292,-2292,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),BOL,2022,99427.3,50040.2,2024,159979.23,112536.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.4,49428.7,-12465.4,54151.8,55456.89999999999,64925.3,11714.8,59278.6
Bosnia and Herzegovina,BIH,2014,19342,25740,2024,25809.61,32306.695,,,,,,21422.48568,22648.05132,No,,,,,,,,,,,,,,,,,,,,,,,,3898.7,6877.5,-3073.4,11615.6,9967.299999999999,14479.8,8587.700000000001,12688.3
Botswana,BWA,,,22732,2024,14706.317,25963.305,,,,,,18602,21791.3,No,,,,,,,,,,,,,,,,,,,,,,,,-14926,-10903.6,-16261.2,-10022.2,-6457,-3963.1,-3062.9,3447.9
Brazil,BRA,2022,2039236.306,1233542.365290691,2024,2001697.2,1271616.4,2004,3596052.785,,,2050,1201224.183117,1201224.183117,Yes,850000,1050000,Yes,Yes,1172625.908152171,1172625.908152171,900918.1373377505,900918.1373377505,1151621.981800941,12192.33989715576,793795.40225147,-692041.015625,1715706.370109784,288532.5012207031,1772962.036132812,530303.378638134,1867960.389583244,298184.1125488281,1574021.061395178,309613.4033203125,2505136.768976724,1297625.671386719,2599176.893063925,-873064.6000000001,531721.4,-1071997.7,647382.6,330718.5,926657.2999999999,-93236.40000000001,1327735.4
Brunei Darussalam,BRN,2022,9048.352959,13511.27038112732,2024,10424.418,14547.01,2020,10941.67267,2020,15109.63434680043,2050,23600,23600,No,24640,30800,Yes,No,5470.836334999944,5470.836334999944,,,5864.914514079146,,,,,,,,,,,,,,,4826.1,6526.900000000001,4449,6630.200000000001,5603.799999999999,9390.599999999999,5247,9325.900000000001
Burkina Faso,BFA,2022,72300.95,20537.45886845346,2024,79029.981,34248.843,,,,,2050,58766.6,65992.54999999999,Yes,42726.57,59462.21000000001,Yes,Yes,,,44074.95000000017,49494.41250000018,38732.65178571364,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,2023,345.799,2378.326022153577,2024,-9879.6733,4788.9786,,,,,,2122.726,3463.936999999999,Yes,4270.508000000001,4944.767999999999,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,2023,945.6,1019.4,2024,1204.7354,1227.7137,,,,,2050,874.01,990.8306,Yes,813.78,1100.604,Yes,No,,,655.5074999999988,743.1229500000001,525.3333333333359,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,2020,118500,63328,2024,179078.36,48067.125,,,,,2050,90500,90500,Yes,60399.99999999999,112000,Yes,No,,,54899.99999999964,80849.99999999854,59250,,,,,,,,,,,,,,,110914.6,153260,75776.2,152342.1,135029.1,167353.4,137089.1,177155.6
Cameroon,CMR,2020,-53446.7,17972.47,2024,59925.702,41694.81,,,,,,76825,104186,Yes,,,,,,,,,,,,,,,,,,,,,,,,71960.3,85376.7,45921.7,69824.5,70875.39999999999,84323.5,79021.2,98681.70000000001
Canada,CAN,2023,698084.3103,693915.3057,2024,714668.95,690983.4,2003,829224.63,2007,774342.3,2050,417295.4995,455231.4539999999,Yes,379359.544978044,417295.4994758484,Yes,No,264646.1585106372,264646.1585106372,312971.6246249955,341423.5905000023,410196.1846023187,48062.26244775456,460093.505859375,256092.4377441406,542630.8824947213,194554.1127973013,611627.2433224412,347251.9378662109,748317.4638,430192.4133300781,683040.4637000001,458184.5092773438,727751.7039200091,485383.1176757813,2006817.337051012,122809.6,364939.1,64647.00000000001,407842.4,415592,459610.5,247572.4,613537.5
Central African Republic,CAF,2022,-55372,3229.788744180645,2024,25536.8,23835.655,,,2012,5148.25,,13359,15558,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,2010,24359.189,24351.76,2024,49958.091,58062.512,,,,,,68588,84571,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,2022,54369.85463,111048.6435371461,2024,46219.526,102108.26,2017,121616.9135,2025,,2050,95000,95000,No,90000,90000,No,,55280.4152272729,55280.4152272729,,,26665.11097238345,,,,,,,,,,,,,,,-23022.4,-6999.7,-18958.4,4946.1,35743.7,63838.3,35278.1,57985.5
China,CHN,2021,12998841.79,14314256.68569965,2024,13821603,15100036,2024,13508000,,,2060,,,,12157200,13635660,Yes,No,9539661.119207624,11824193.54838715,,,9539661.119207624,3842956.0531841,7805567.87109375,5058913.80910157,9569377.9296875,5378566.78993486,12355832.1,7233623.4,12355832.1,8214097.100000001,16514187.13,10371483.5,15806514.8,11985282.40244355,19092916.4,3325160.1,9270604.699999999,3109124.6,10992187.9,12803188,13311915.6,11029701,15176940.5
Colombia,COL,2021,280101.9837,183498.9197638264,2024,298298.46,200545.94,,,,,2050,169440,169440,Yes,155000,161000,Yes,No,,,127079.9999999981,127079.9999999981,172094.9604573616,,,137487.2001,147829.767,195749.4993,195749.4993,211903.1438,211903.1438,222960.8758,222960.8758,,,271153.9505,350706.129387081,-126333.7,127120.5,-193068.6,137020.3,199483.3,203487.1,12123.2,281254.2
Comoros,COM,2021,-1677.6,711.8,2024,823.50581,823.50581,,,,,,-1700,-1700,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,COG,2025,-22033.23,10670.77,2024,66324.486,24011.832,,,,,,-24254.06,-21716.86,Yes,-26569.47,-21932.31,Yes,,,,,,,,,,,,,,,,,,,,,91445,96704.2,74062.2,83698.89999999999,81647.90000000001,88748.3,80691.8,90001.09999999999
Cook Islands,COK,1994,-74.13773599999999,80.30046400000001,2024,87.27758900000001,87.27758900000001,2012,108.78713,2012,,2040,,,,,,,,19.42627321428514,19.42627321428514,,,27.27424656249866,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,2021,12633.70618,16156.92259217623,2024,17397.087,18668.499,1990,36808.8121,,,2050,11380,14779.22077922078,Yes,10034,13877.7,Yes,No,9202.203025000017,9202.203025000017,8535.000000000082,11084.41558441564,9319.615384615417,,,,,,,,,,,,,,,5546,13760.8,4956.5,15774.2,14834.1,19941,14456.6,19142.7
Cuba,CUB,2022,21630.02618,49396.09059681745,2024,23084.808,51085.375,1990,49067.60942,2007,60107.40066513313,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17518.2,11877.8,-20460.4,15110.6,7014.2,23324.2,-1362.8,20279
Côte d'Ivoire,CIV,2022,110345.58,129922.52,2024,115509.62,58524.201,2022,110345.58,,,,53625.8,96468.64999999999,Yes,40199.48,104659,Yes,,,,,,,,,,,,,,,,,,,,,69923.5,80537.2,54134.3,74398.60000000001,76450.2,86667,81829.40000000001,125140.4
Democratic People's Republic of Korea,PRK,2002,70450,87330,2024,69877.942,73167.651,1990,193817,1990,207544,,104640,183120,Yes,,,,,,,,,,,,,,,,,,,,,,,,32938.1,63795.4,28645.5,62916.8,59672.4,69175.70000000001,53401.6,66532.2
Democratic Republic of the Congo,COD,2003,-132780.4,45998.98,2024,61410.729,105672.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-275936.3,-107837.7,-492430.4,-232865.9,-227980.9,-129025.1,-210021.4,-56905.6
Djibouti,DJI,2019,1307.379,1338.849,2024,-5743.4692,1479.2559,,,,,2050,806.75,1353.035,Yes,,,,,,,605.0625000000025,1014.776249999983,632.6027419354858,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,2022,310.87,739.6,2024,-2164.874,268.12877,,,,,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,2022,44513.2,46272.3,2024,38581.304,47065.743,,,,,2050,37230,47430,Yes,,,,,,,27922.50000000013,35572.50000000022,23846.35714285696,,,,,,,,,,,,,,,11986.3,28304.3,13239.5,36448.7,31235.4,59644.5,31259.3,56759.8
Ecuador,ECU,2022,88262.87456,62439.67693564022,2024,88910.21799999999,66146.53599999999,2035,,,,,,,,110500,120900,Yes,,110500,110500,,,,,,,,,,,,,,,,,,38044.3,77408.60000000001,30074.2,82375.7,89654.5,101171.7,61993.8,96822.10000000001
Egypt,EGY,2022,386210.8358,386210.8357929046,2024,399633.22,399633.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251872.1,312855,252280.5,556914.6,514771.4999999999,704398.6,525911.6,844624
El Salvador,SLV,2023,14208,12849,2024,22191.186,13710.426,,,,,,,,,16807,17876,Yes,,,,,,,,,,,,,,,,,,,,,11572.6,20551.8,10326.2,21349.9,19386.2,23526.2,17288.9,23009.5
Equatorial Guinea,GNQ,,,,2024,11785.233,10572.741,2013,18170.821,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,2018,3810,,2024,7978.0957,7482.2722,,,,,,3798,4202,Yes,,,,,,,,,,,,,,,,,,,,,,,,690.1,4789.4,-221.9,5018.3,4388.9,6971.3,5110.8,8948
Eswatini,SWZ,2022,-1854.1,2281.952803873481,2024,3504.2924,2889.8494,,,2014,2470.403806414917,,-2784.81,-2784.81,Yes,-2766.41,-1221.41,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,2023,283300,,2024,209397.56,150650.59,2023,283300,,,2050,85700,141900,Yes,70700,140800,Yes,Yes,136067.3076923122,136067.3076923122,64275.00000000146,106425.0000000011,157388.8888888905,,,,,,,,,,,,,,,90707.2,176174,51960.1,164687.7,145340.7,215618.3,172803.8,258372
European Union (27),EUU,2023,2907204.131,3105624.99,2024,2858081.027300001,3050959.5907,1990,4635247.663,1990,4872570.637,2050,2085861.44835,2085861.44835,Yes,1272591.650544327,1561817.025668037,Yes,Yes,1158811.915749975,1158811.915749975,1564396.08626251,1564396.08626251,1649231.850612734,798793.352626639,2761837.890625,1335222.778320312,2762684.54417834,1386281.127929688,4846592.57267352,1607196.533203125,5183082.963733489,1893872.314453125,5000893.329441397,1926437.168877822,6726990.569148519,2278722.900390625,7031220.123559603,879791.3,1750422.1,840134.4999999999,2116052.299999999,2215748.8,2442886.7,2163667.6,2725564.199999999
Fiji,FJI,2019,2325.04,3179.72,2024,2879.6768,2469.6768,,,2017,3413.98,2050,,,,,,,,,,,,1125.019354838685,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,2023,-72389.7,20600.3,2024,-105231.03,7276.2223,,,,,,,,,-121521.3,-92430.59999999999,Yes,,,,,,,,,,,,,,,,,,,,,-82022.59999999999,-78408.10000000001,-94554.90000000001,-87707.5,-90486.7,-89443.39999999999,-92285.39999999999,-89685.39999999999
Gambia,GMB,2020,3542,2549.44,2024,2413.2838,2350.2282,,,2015,,2050,3327,6448,Yes,,,,,,,2495.249999999999,4836.000000000013,1770.999999999987,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,2022,14302.21218,20097.46840281164,2024,14232.785,20028.016,,,,,2050,19756.92122675388,29865.11348230237,No,,,,,,,,,8170.89963810372,,,,,,,,,,,,,,,17624.8,23029.3,16026.3,23992.2,25552.7,29221.2,28331.8,31420.5
Ghana,GHA,2022,54758.54744,47961.02855089684,2024,61315.206,54694.212,,,,,2060,,,,,,,,,,,,39111.88007808095,,,,,,,,,,,,,,,44990.7,62171.7,30925.8,60056.3,69510.09999999999,84889.89999999999,86782.3,120640.4
Grenada,GRD,1994,1514.4651,1606.4651,2024,602.4043799999999,602.4043799999999,,,,,,130.14,130.14,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,2022,64435.11362,32966.44327377297,2024,71349.289,35634.877,,,,,,56600,64900.00000000001,Yes,,,,,,,,,,,,,,,,,,,,,,,,-9235.4,29461.9,-15552.9,35577.9,25966.1,48122.2,8956.5,48179.4
Guinea,GIN,2019,2057.59,14572.71,2024,6741.9685,19605.444,,,,,,19246,21119,Yes,51032,83052,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,2022,-20932.43018,1612.269951250513,2024,-17554.458,1694.5885,,,,,,13000,16000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,2022,-133920.9898,8459.46242687339,2024,-131154.79,9403.903200000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,2000,7832.320000000001,6683.12,2024,17155.733,12405.325,2018,18990.577,2018,,,12938,17774,Yes,,,,,,,,,,,,,,,,,,,,,,,,2458.7,13296.4,552.1,14372.5,13653.8,17335.7,8675.4,17471.5
Holy See,VAT,2022,15.88646479,15.88646478633283,2024,14.292788,14.292788,2011,19.32567379,2011,19.32567378672049,2050,,,,13.8962664,13.8962664,Yes,No,7.432951457692294,7.432951457692294,,,8.242285693444096,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,2022,11448.51,21794.79,2024,13353.699,21124.013,,,,,,41816.4,50381,Yes,52769,65617,Yes,,,,,,,,,,,,,,,,,,,,,-21505.2,6814.4,-26596.4,9472.300000000001,1341.7,12606,-9623.200000000001,11716.1
Iceland,ISL,2023,12631.05772,4646.046671,2024,12743.219,4749.714,2008,13439.72383,2008,5374.056754,2040,1834.50411,1834.50411,No,7161.197999999999,7416.665,Yes,No,2099.9568484375,2099.9568484375,,,3980.741214243608,,,,,,,,,,,,,,,9538.5,13975.7,8944.800000000001,14217.1,10596.1,14502.5,11076.6,13732.7
India,IND,2020,2437000,2959000,2024,3546656.6,3985429.4,,,,,2070,,,,,,,,3683312.5,3799774.999999994,,,2504355.427574366,1513174.799678783,3534368.3,2154428.88366073,4986452.6,2266278.87853408,5513311.847900435,2913122.14116941,5568117.4,3429689.999730631,6473418.36897472,3778177.978515625,7055324.876851739,4486851.97613486,9134586.199999999,1980249.4,2623003.4,2096261.4,2868766.7,3657855.8,4231597.2,4632305,6032290.2
Indonesia,IDN,2022,1382854.503,1070542.932215044,2024,1614524.6,1156243.8,2030,,,,2060,1345707,1491474,Yes,1257717,1488866,Yes,No,1121422.5,1242895.000000004,1121422.5,1242895.000000004,862523.5714285664,588353.6349091956,1182864.990234375,663074.6459960938,1239115.966796875,728491.5771484375,1355899.047851563,873427.978515625,1410014.18601514,1004229.919433594,1748860.72698415,1056693.20743639,2005095.76348826,1097428.57863382,2538741.943359375,-59652.2,774877.7,-638185.7999999999,972906.3999999999,1376934.3,1570394.3,1071875.6,1658571.2
Iraq,IRQ,2021,201978.7502,203653.3674325071,2024,359491.49,356841.19,,,,,,263238.6,263238.6,Yes,233243.4,284078.5,Yes,,,,,,,,,,,,,,,,,,,,,193809,330385.2,192871.4,358047.1,374214.6,418629.3,373861.3,407628.2
Israel,ISR,2022,81063.06121,81348.89209171219,2024,79736.674,79980.549,2012,85226.62052,2012,85551.53693604756,2050,58920.51313370001,58920.51313370001,Yes,,,,,33642.08704736939,33642.08704736939,44190.38485027522,44190.38485027522,42229.3270264754,,,,,,,,,,,,,,,30777.3,56297.4,31159.1,73865,86196.8,94807.10000000001,75234.8,99476.39999999999
Jamaica,JAM,2012,13292.49,14918.49,2024,11717.046,13339.046,2008,16833.11,2008,18465.11,2050,4025.200000000001,4274.600000000001,Yes,3381.400000000001,4228.200000000001,Yes,No (target only covers some sectors),6011.825000000044,6011.825000000044,3018.899999999974,3205.949999999973,5247.035526315813,,,,,,,,,,,,,,,1061.5,8471.4,-4.2,9190.099999999999,8550.200000000001,11416.5,5810.7,10596.2
Japan,JPN,2023,1018932.089,1069132.913,2024,997718.63,1052253,2013,1317988.563,2013,1393072.243,2050,696536.1215,752259.0112200001,Yes,558144.5360000001,558144.5360000001,Yes,Yes,534319.6877027076,534319.6877027076,522402.0911249972,564194.2584149947,574484.4057968148,250663.7,559454.1225804173,375673.0041503906,808578.9,346175.9,1019673.4,486794.3725585938,1019673.4,623847.5952148438,1019673.4,766485.5346679688,1177548.446622413,841716.6748046875,1423595.626,197055.8,558317,207861.6,609367,614815.1,745035.4,674260.7000000001,871403.2
Jordan,JOR,2023,31039.35,32184.12,2024,32711.165,33490.964,,,,,,30352.41,41789.55,Yes,,,,,,,,,,,,,,,,,,,,,,,,18346.2,31579.9,18509.7,33637.2,30401.8,37957.1,33861.4,37361.7
Kazakhstan,KAZ,2022,352973.0253,348843.831574592,2024,369753.23,358711.98,2018,425908.0169,2018,404229.3132173436,2060,289302.3759,327876.02602,Yes,289275,320000,Yes,No,253516.6767261908,253516.6767261908,241085.3132499979,273230.0216833355,256171.1698733452,,,,,,,,,,,,,,,9789.400000000001,133219.1,-51515.1,201136.1,231095.6,345795,264619.6,361382.3
Kenya,KEN,2022,113182.758,66336.41916508893,2024,110549.75,68806.50599999999,2021,114225.7908,,,,97240,137051.2,Yes,139750,199950,Yes,,,,,,,,,,,,,,,,,,,,,90755.2,134768.3,69206.5,130674.5,122597.3,159051.3,156239.6,197069.8
Kiribati,KIR,2008,170.314553,170.314553,2024,125.74106,125.74106,,,,,,105.156,126.96,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,2016,86336.159,86336.978,2024,117364.22,117374.71,,,,,2060,,,,,,,,,,,,72948.66582683698,,,,,,,,,,,,,,,33553.7,61541.5,38748.7,66933.89999999999,64495.99999999999,81352.2,70515.60000000001,80702.89999999999
Kyrgyzstan,KGZ,2023,9065.27,19374.16,2024,8738.258900000001,19225.198,,,,,,12446,14579.6,Yes,14609.5,20118,Yes,,,,,,,,,,,,,,,,,,,,,8045.299999999999,12498.7,7471.099999999999,13462.5,10362.2,15890.6,7617.3,21735.2
